30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,7,7,1,1,1
30,1,1,1,1,1,1,1,1,1,38,30,30,30,7,1,1,1,1,7
30,1,1,1,1,1,1,1,1,1,37,30,30,7,1,1,1,7,7,7
30,1,1,1,1,1,7,7,7,7,7,30,7,1,1,7,7,7,1,1
30,1,1,1,1,7,1,1,1,1,1,7,1,1,7,1,1,1,1,1
30,1,1,1,1,1,1,20,21,22,1,1,1,7,1,1,1,1,1,1
30,1,1,1,7,1,1,23,24,25,1,1,7,1,1,1,1,1,1,1
30,1,1,1,7,1,1,26,27,28,1,1,7,1,1,1,1,1,1,1
30,1,1,1,1,7,1,1,1,1,1,7,1,1,1,1,1,1,1,8
30,1,1,1,1,1,7,1,1,7,7,1,1,1,1,1,1,17,17,17
30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,17,17,17
30,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,17,17,17
30,0,1,1,1,1,1,1,1,1,1,1,1,1,1,8,17,17,4,17
30,0,1,1,1,1,1,1,1,1,1,1,1,1,1,17,17,17,17,17
30,7,7,7,7,7,7,7,7,7,7,7,7,7,8,17,17,17,17,17
